BMP280,,,,,,,
"Year,Month,Day,Hour,Minute,Second",,,,,,,
Start,"2018,2,15,14,28,34",,,,,,
End,"2018,2,15,14,29,5,",,"(Note: Total 10,000 samples, first 681 records removed, due to presence of NANs)",,,,
Samples,9319,,Average,100801.6917,,StDev,5.84782364
No doubles,5506,,Average,100801.124,,StDev,5.85046483
,,,,,,StDev Mean,0.07884465722
,,,,,,,
,,,,,,,
T (°C),P (Pa),,T (°C),P (Pa),,,
22.54,100787.08,,22.54,100800.42,100800.42,,
22.53,100788.23,,22.53,100802.34,100802.34,,
22.59,100805.95,,22.58,100807.13,100807.13,,
22.59,100805.95,,22.59,100805.95,100805.95,,
22.6,100809.38,,22.53,100799.67,100799.67,,
22.6,100809.38,,22.57,100796.88,100796.88,,
22.53,100798.91,,22.59,100805.95,100805.95,,
22.56,100800.73,,22.53,100798.91,100798.91,,
22.56,100800.73,,22.56,100795.39,100795.39,,
22.62,100809.69,,22.6,100801.37,100801.37,,
22.62,100809.69,,22.53,100799.67,100799.67,,
22.59,100808.63,,22.52,100794.75,100794.75,,
22.59,100808.63,,22.58,100806.38,100806.38,,
22.52,100798.18,,22.59,100805.95,100805.95,,
22.53,100791.66,,22.6,100806.71,100806.71,,
22.53,100791.66,,22.53,100798.91,100798.91,,
22.58,100809.8,,22.55,100807.98,100807.98,,
22.58,100809.8,,22.6,100801.37,100801.37,,
22.52,100800.84,,22.54,100803.09,100803.09,,
22.52,100800.84,,22.53,100797,100797,,
22.51,100796.66,,22.58,100801.8,100801.8,,
22.57,100802.22,,22.59,100805.95,100805.95,,
22.57,100802.22,,22.52,100803.52,100803.52,,
22.57,100805.64,,22.56,100808.74,100808.74,,
22.57,100805.64,,22.6,100812.81,100812.81,,
22.51,100793.99,,22.53,100799.67,100799.67,,
22.55,100802.64,,22.54,100803.83,100803.83,,
22.55,100802.64,,22.6,100806.71,100806.71,,
22.58,100803.7,,22.53,100799.67,100799.67,,
22.58,100803.7,,22.53,100797,100797,,
22.52,100789.41,,22.59,100799.85,100799.85,,
22.52,100789.41,,22.59,100805.95,100805.95,,
22.54,100797.76,,22.61,100808.2,100808.2,,
22.58,100801.04,,22.52,100798.18,100798.18,,
22.58,100801.04,,22.55,100805.31,100805.31,,
22.52,100795.51,,22.58,100804.47,100804.47,,
22.52,100795.51,,22.54,100801.16,100801.16,,
22.52,100790.17,,22.53,100799.67,100799.67,,
22.57,100805.64,,22.59,100805.2,100805.2,,
22.58,100801.8,,22.59,100805.95,100805.95,,
22.58,100801.8,,22.53,100798.91,100798.91,,
22.59,100808.63,,22.55,100794.63,100794.63,,
22.59,100808.63,,22.6,100804.8,100804.8,,
22.52,100803.52,,22.53,100797,100797,,
22.52,100803.52,,22.54,100800.42,100800.42,,
22.54,100795.81,,22.59,100799.85,100799.85,,
22.58,100806.38,,22.53,100797,100797,,
22.58,100806.38,,22.53,100796.23,100796.23,,
22.53,100796.23,,22.59,100799.85,100799.85,,
22.53,100796.23,,22.61,100810.88,100810.88,,
22.52,100798.18,,22.58,100796.45,100796.45,,
22.57,100797.64,,22.53,100797,100797,,
22.57,100797.64,,22.54,100801.16,100801.16,,
22.58,100807.13,,22.6,100809.38,100809.38,,
22.58,100807.13,,22.53,100797,100797,,
22.52,100794.75,,22.59,100797.94,100797.94,,
22.55,100802.64,,22.59,100797.19,100797.19,,
22.55,100802.64,,22.52,100792.84,100792.84,,
22.59,100807.86,,22.57,100808.32,100808.32,,
22.59,100807.86,,22.59,100797.94,100797.94,,
22.53,100801.58,,22.53,100788.23,100788.23,,
22.53,100801.58,,22.55,100791.2,100791.2,,
22.53,100799.67,,22.6,100807.47,100807.47,,
22.58,100804.47,,22.54,100793.14,100793.14,,
22.58,100804.47,,22.53,100794.33,100794.33,,
22.53,100798.91,,22.58,100801.8,100801.8,,
22.53,100798.91,,22.59,100797.19,100797.19,,
22.52,100795.51,,22.61,100811.63,100811.63,,
22.57,100805.64,,22.53,100796.23,100796.23,,
22.59,100805.2,,22.55,100802.64,100802.64,,
22.59,100805.2,,22.59,100805.2,100805.2,,
22.6,100806.71,,22.54,100800.42,100800.42,,
22.6,100806.71,,22.52,100798.18,100798.18,,
22.52,100790.17,,22.58,100806.38,100806.38,,
22.55,100804.55,,22.59,100797.19,100797.19,,
22.55,100804.55,,22.53,100790.9,100790.9,,
22.59,100800.61,,22.57,100807.56,100807.56,,
22.59,100800.61,,22.59,100807.86,100807.86,,
22.53,100798.91,,22.52,100795.51,100795.51,,
22.53,100798.91,,22.55,100802.64,100802.64,,
22.53,100802.34,,22.6,100809.38,100809.38,,
22.59,100805.2,,22.53,100799.67,100799.67,,
22.59,100805.2,,22.53,100798.91,100798.91,,
22.59,100805.95,,22.58,100804.47,100804.47,,
22.59,100805.95,,22.6,100807.47,100807.47,,
22.52,100800.84,,22.6,100806.71,100806.71,,
22.56,100811.41,,22.52,100787.5,100787.5,,
22.56,100811.41,,22.55,100796.55,100796.55,,
22.59,100805.95,,22.59,100805.2,100805.2,,
22.59,100805.95,,22.54,100797.76,100797.76,,
22.53,100799.67,,22.53,100799.67,100799.67,,
22.53,100799.67,,22.58,100809.05,100809.05,,
22.54,100793.14,,22.59,100805.95,100805.95,,
22.6,100801.37,,22.54,100803.09,100803.09,,
22.6,100801.37,,22.57,100804.89,100804.89,,
22.53,100799.67,,22.59,100805.2,100805.2,,
22.53,100799.67,,22.52,100798.18,100798.18,,
22.53,100797,,22.55,100791.2,100791.2,,
22.58,100807.13,,22.59,100805.95,100805.95,,
22.6,100809.38,,22.53,100799.67,100799.67,,
22.6,100809.38,,22.52,100803.52,100803.52,,
22.6,100812.81,,22.58,100796.45,100796.45,,
22.6,100812.81,,22.58,100806.38,100806.38,,
22.53,100796.23,,22.59,100805.95,100805.95,,
22.53,100796.23,,22.53,100798.91,100798.91,,
22.55,100799.21,,22.54,100801.16,100801.16,,
22.59,100807.86,,22.59,100807.86,100807.86,,
22.59,100807.86,,22.53,100790.9,100790.9,,
22.53,100791.66,,22.53,100799.67,100799.67,,
22.53,100791.66,,22.59,100807.86,100807.86,,
22.52,100795.51,,22.59,100805.2,100805.2,,
22.58,100809.8,,22.52,100794.75,100794.75,,
22.58,100809.8,,22.57,100796.88,100796.88,,
22.59,100802.53,,22.6,100806.71,100806.71,,
22.59,100802.53,,22.53,100798.91,100798.91,,
22.52,100798.18,,22.54,100806.5,100806.5,,
22.57,100794.97,,22.59,100811.3,100811.3,,
22.57,100794.97,,22.54,100797.76,100797.76,,
22.59,100805.95,,22.54,100795.81,100795.81,,
22.59,100805.95,,22.58,100807.13,100807.13,,
22.53,100788.98,,22.59,100800.61,100800.61,,
22.53,100788.98,,22.6,100815.48,100815.48,,
22.55,100801.89,,22.53,100798.91,100798.91,,
22.59,100807.86,,22.54,100801.16,100801.16,,
22.59,100807.86,,22.59,100808.63,100808.63,,
22.53,100799.67,,22.53,100798.91,100798.91,,
22.53,100799.67,,22.53,100797,100797,,
22.53,100802.34,,22.58,100807.13,100807.13,,
22.58,100807.13,,22.59,100805.95,100805.95,,
22.58,100804.47,,22.53,100798.91,100798.91,,
22.58,100804.47,,22.57,100802.98,100802.98,,
22.6,100814.73,,22.6,100806.71,100806.71,,
22.6,100814.73,,22.53,100804.25,100804.25,,
22.53,100796.23,,22.54,100798.48,100798.48,,
22.54,100798.48,,22.59,100807.86,100807.86,,
22.54,100798.48,,22.53,100799.67,100799.67,,
22.59,100810.53,,22.52,100798.18,100798.18,,
22.59,100810.53,,22.59,100797.19,100797.19,,
22.54,100800.42,,22.59,100799.85,100799.85,,
22.54,100800.42,,22.61,100806.29,100806.29,,
22.53,100802.34,,22.52,100803.52,100803.52,,
22.58,100807.13,,22.55,100804.55,100804.55,,
22.58,100807.13,,22.59,100808.63,100808.63,,
22.59,100805.95,,22.54,100797.76,100797.76,,
22.59,100805.95,,22.58,100807.13,100807.13,,
22.53,100799.67,,22.59,100805.95,100805.95,,
22.57,100796.88,,22.53,100798.91,100798.91,,
22.57,100796.88,,22.57,100796.88,100796.88,,
22.59,100805.95,,22.6,100806.71,100806.71,,
22.59,100805.95,,22.53,100797,100797,,
22.53,100798.91,,22.55,100794.63,100794.63,,
22.53,100798.91,,22.6,100806.71,100806.71,,
22.56,100795.39,,22.53,100788.98,100788.98,,
22.6,100801.37,,22.53,100797,100797,,
22.6,100801.37,,22.59,100805.2,100805.2,,
22.53,100799.67,,22.59,100800.61,100800.61,,
22.53,100799.67,,22.6,100806.71,100806.71,,
22.52,100794.75,,22.53,100788.98,100788.98,,
22.58,100806.38,,22.55,100799.21,100799.21,,
22.59,100805.95,,22.6,100802.13,100802.13,,
22.59,100805.95,,22.53,100802.34,100802.34,,
22.6,100806.71,,22.53,100799.67,100799.67,,
22.6,100806.71,,22.59,100799.85,100799.85,,
22.53,100798.91,,22.59,100805.95,100805.95,,
22.55,100807.98,,22.53,100796.23,100796.23,,
22.55,100807.98,,22.57,100802.98,100802.98,,
22.6,100801.37,,22.59,100805.2,100805.2,,
22.6,100801.37,,22.52,100798.18,100798.18,,
22.54,100803.09,,22.53,100799.67,100799.67,,
22.54,100803.09,,22.59,100805.95,100805.95,,
22.53,100797,,22.54,100805.77,100805.77,,
22.58,100801.8,,22.53,100801.58,100801.58,,
22.58,100801.8,,22.59,100810.53,100810.53,,
22.59,100805.95,,22.6,100810.14,100810.14,,
22.59,100805.95,,22.6,100807.47,100807.47,,
22.52,100803.52,,22.53,100793.57,100793.57,,
22.56,100808.74,,22.55,100802.64,100802.64,,
22.56,100808.74,,22.59,100808.63,100808.63,,
22.6,100812.81,,22.53,100796.23,100796.23,,
22.6,100812.81,,22.52,100790.17,100790.17,,
22.53,100799.67,,22.59,100799.85,100799.85,,
22.53,100799.67,,22.58,100796.45,100796.45,,
22.54,100803.83,,22.52,100795.51,100795.51,,
22.6,100806.71,,22.56,100798.06,100798.06,,
22.6,100806.71,,22.6,100806.71,100806.71,,
22.53,100799.67,,22.54,100800.42,100800.42,,
22.53,100799.67,,22.54,100797.76,100797.76,,
22.53,100797,,22.6,100809.38,100809.38,,
22.59,100799.85,,22.53,100799.67,100799.67,,
22.59,100805.95,,22.54,100801.16,100801.16,,
22.59,100805.95,,22.59,100805.2,100805.2,,
22.61,100808.2,,22.61,100808.2,100808.2,,
22.61,100808.2,,22.59,100805.2,100805.2,,
22.52,100798.18,,22.52,100798.18,100798.18,,
22.55,100805.31,,22.57,100802.22,100802.22,,
22.55,100805.31,,22.6,100807.47,100807.47,,
22.58,100804.47,,22.54,100797.76,100797.76,,
22.58,100804.47,,22.55,100794.63,100794.63,,
22.54,100801.16,,22.59,100799.85,100799.85,,
22.54,100801.16,,22.54,100800.42,100800.42,,
22.53,100799.67,,22.54,100801.16,100801.16,,
22.59,100805.2,,22.59,100799.85,100799.85,,
